,count,mean,std,min,25%,50%,75%,max
i1,130.0,0.5330742761615385,0.16781697272651708,-0.130434783,0.46291337074999994,0.5479259175,0.637835948,0.92
i2,130.0,0.2389402955538462,0.09708505301752886,-0.083333333,0.18923803024999997,0.2474151585,0.2976753345,0.45
i3,130.0,0.2447143367769231,0.10177027629344162,0.05078125,0.181833508,0.2363644655,0.28276579225,0.73888
i4a,130.0,0.46491903486923086,0.16125279861787223,0.08,0.36216405199999996,0.45207408250000003,0.5370866292500001,1.0
i4b,130.0,0.5574205475692308,0.14024656448015482,0.16,0.484363628,0.5447280324999999,0.625,1.0
i5ap,130.0,0.5403832495230767,0.10588390982130912,0.086956522,0.487877468,0.545786559,0.5951534655,0.88
i5pr,130.0,0.043841553130769234,0.029398395916933308,0.0,0.02449307975,0.0408858655,0.051894051749999996,0.158469945
i5re,130.0,0.1823123353923076,0.06538475909191555,0.0375,0.14776035825,0.170600753,0.207333007,0.523809524
i5op,130.0,0.10864492956153843,0.047606497294155004,0.0,0.08257738325,0.10121114849999999,0.129480287,0.279329609
i5th,130.0,0.024916251300000004,0.025283858550427755,0.0,0.0104237865,0.0184110015,0.03010861325,0.152173913
i5pu,130.0,0.09990168105384616,0.043850885747443266,0.0,0.072398686,0.0950046685,0.124559893,0.308641975
p1,130.0,0.34664439832307703,0.12465772875640016,-0.027692308,0.27714735625,0.365996587,0.43407823325,0.606557377
p2,130.0,0.16075631533076926,0.08887633824803956,-0.12,0.10557804800000001,0.17431082250000002,0.21584959274999999,0.35102040799999995
p3,130.0,0.12034618542307689,0.026901788910867464,0.06785551,0.101506386,0.1178995895,0.13574286224999998,0.233915614
p4,130.0,0.19884371652307703,0.07815906376938522,0.041980624,0.14374008525,0.21188224549999998,0.25360817575,0.381818182
p5,130.0,0.9758032790461535,0.012164572827403602,0.934946545,0.968181113,0.977141005,0.9861765235,0.994085467
